freq,currency,nace_r2,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,MIO_EUR,A,BE34	: 	: 	: 	: 	: 	: 	: 	: 	24.9 	30.8 	38 	51.4 	44.9 	54.3 	37.8 	42.5 	56.3 	51.4 	53.8 	54.3 	65 	61.6 	64.1 	71.2 	71.4 	: 
A,MIO_EUR,A,BE35	: 	: 	: 	: 	: 	: 	: 	: 	36.6 	32.1 	32.9 	38.9 	44.5 	59.5 	61.2 	44.1 	71.5 	66.9 	68.3 	71.6 	70.8 	66.6 	80.4 	86.9 	95.2 	: 
A,MIO_EUR,A,BG	: 	: 	: 	: 	: 	99.81 	260.41 	134.24 	193.66 	258.79 	191.07 	185.72 	217.39 	518.14 	316.46 	363.73 	545.37 	537.06 	532.77 	651.25 	707.71 	510.35 	622.14 	705.17 	585.25 	: 
A,MIO_EUR,A,BG3	: 	: 	: 	: 	: 	69.53 	179.67 	71.98 	103.56 	177.33 	139.86 	124.29 	146.93 	406.53 	254.03 	286.94 	453.24 	447.72 	426.51 	505.97 	522.22 	384.91 	459.01 	513.79 	430.76 	: 
A,MIO_EUR,A,BG31	: 	: 	: 	: 	: 	11.34 	19.78 	9.93 	11.13 	22.67 	24.83 	22.5 	27.06 	102.66 	51.34 	61.13 	111.18 	114.06 	102.78 	110.76 	129.13 	99.5 	138.26 	116.07 	93.5 	: 
A,MIO_EUR,A,BG32	: 	: 	: 	: 	: 	25.4 	32.23 	23.8 	35.11 	44.98 	43.47 	27.41 	35.5 	110.5 	61.37 	74.6 	107.01 	134.83 	116.12 	120.86 	127.28 	107.15 	101.26 	132.6 	119.46 	: 
A,MIO_EUR,A,BG33	: 	: 	: 	: 	: 	11.57 	79.89 	19.64 	25.67 	44.77 	34.39 	35.92 	39.45 	98.3 	74.48 	89.07 	138.53 	117.86 	121.53 	162.42 	138.93 	95.67 	111.31 	140.72 	110.06 	: 
A,MIO_EUR,A,BG34	: 	: 	: 	: 	: 	21.22 	47.77 	18.61 	31.65 	64.91 	37.16 	38.47 	44.91 	95.08 	66.84 	62.14 	96.5 	80.97 	86.08 	111.93 	126.88 	82.58 	108.18 	124.4 	107.74 	: 
A,MIO_EUR,A,BG4	: 	: 	: 	: 	: 	30.27 	80.75 	62.26 	90.1 	81.46 	51.21 	61.42 	70.47 	111.61 	62.43 	76.79 	92.13 	89.34 	106.26 	145.28 	185.49 	125.45 	163.14 	191.38 	154.49 	: 
A,MIO_EUR,A,BG41	: 	: 	: 	: 	: 	17.46 	44.19 	46.21 	44.04 	35.15 	15.83 	25.97 	28.57 	36.42 	17.62 	19.99 	24.35 	27.04 	35.69 	62.3 	81.43 	54.13 	67.56 	98.05 	59.56 	: 
