freq,currency,nace_r2,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,MIO_EUR,B-E,ES24	: 	: 	: 	: 	: 	1378.3 	1361.8 	1426.7 	1496.5 	1430.9 	1409.2 	1929.5 	1895.9 	1450.5 	1584.7 	1419.5 	1487.4 	1681.9 	1579.6 	1587.7 	1746.5 	1764.2 	1890.7 	2409.6 	2680.4 	: 
A,MIO_EUR,B-E,ES3	: 	: 	: 	: 	: 	3077.8 	2970.9 	3221.4 	3300.3 	3699.9 	4112.3 	4407.3 	4971.4 	3765.3 	4793.2 	5413.1 	5256.7 	6767.4 	6106.4 	5216.3 	5008.2 	5435.7 	5789 	5800 	6606.7 	: 
A,MIO_EUR,B-E,ES30	: 	: 	: 	: 	: 	3077.8 	2970.9 	3221.4 	3300.3 	3699.9 	4112.3 	4407.3 	4971.4 	3765.3 	4793.2 	5413.1 	5256.7 	6767.4 	6106.4 	5216.3 	5008.2 	5435.7 	5789 	5800 	6606.7 	: 
A,MIO_EUR,B-E,ES4	: 	: 	: 	: 	: 	3083 	2924.6 	2943.1 	3080.3 	3599.3 	3882 	4489.2 	4987.4 	5631.4 	5838 	4527.5 	4697.9 	4766 	4992.5 	4089.7 	5450 	6054.2 	5998.8 	6652.1 	7369.6 	: 
A,MIO_EUR,B-E,ES41	: 	: 	: 	: 	: 	1671.7 	1602.6 	1614.9 	1723.2 	1941.3 	2069.5 	2420.4 	2777.1 	3216.1 	2935.3 	2403.3 	2302.4 	2682.7 	2603.9 	2117 	3190 	3343.7 	3527 	3822 	3942.3 	: 
A,MIO_EUR,B-E,ES42	: 	: 	: 	: 	: 	1065.1 	992.6 	991.3 	1009.3 	1260.3 	1411.1 	1609.7 	1697.7 	1809.7 	1795.9 	1378.7 	1897.1 	1577.6 	1669.2 	1394.7 	1593.7 	1996.4 	1879.3 	2109.8 	2533.7 	: 
A,MIO_EUR,B-E,ES43	: 	: 	: 	: 	: 	346.2 	329.4 	336.9 	347.8 	397.7 	401.4 	459.1 	512.6 	605.6 	1106.8 	745.5 	498.4 	505.7 	719.4 	578 	666.3 	714.1 	592.5 	720.3 	893.6 	: 
A,MIO_EUR,B-E,ES5	: 	: 	: 	: 	: 	8858.6 	8790.2 	8942.3 	8975 	9332.6 	8660.1 	10222 	10650.9 	11573.2 	12074.9 	10646.6 	11295.2 	11382.4 	12580 	11606.5 	13091.1 	13702.4 	13309.9 	14650.3 	16321.5 	: 
A,MIO_EUR,B-E,ES51	: 	: 	: 	: 	: 	5926.1 	5813.8 	5874.5 	5975.7 	6149 	5770.2 	6839.2 	7014.5 	7868.8 	7963.8 	7463.2 	7425.1 	6906.5 	8474.3 	6795.4 	7611.3 	8916.2 	8029.2 	8592.7 	9498.4 	: 
A,MIO_EUR,B-E,ES52	: 	: 	: 	: 	: 	2725.3 	2776.8 	2843.5 	2765 	2903.6 	2542.5 	2936.9 	3177.2 	3201.1 	3179.6 	2439.7 	3150.1 	3868.3 	3558.1 	4247.6 	5052.4 	4273.4 	4807.5 	5593.5 	6366 	: 
A,MIO_EUR,B-E,ES53	: 	: 	: 	: 	: 	207.2 	199.6 	224.3 	234.3 	280 	347.4 	445.9 	459.2 	503.3 	931.5 	743.7 	720 	607.6 	547.6 	563.5 	427.4 	512.8 	473.2 	464.1 	457.1 	: 
A,MIO_EUR,B-E,ES6	: 	: 	: 	: 	: 	3174.2 	3062 	3215.2 	3402.9 	4226.1 	4510.6 	5009.8 	5074.1 	5571 	6445 	6288.9 	5460 	5515.8 	5377.9 	5192.9 	5751.5 	6061.4 	6234.4 	6693.4 	7184.8 	: 
A,MIO_EUR,B-E,ES61	: 	: 	: 	: 	: 	2483.5 	2400 	2520.2 	2661.7 	3319.4 	3584.8 	3955.1 	4068.7 	4376.2 	4798.2 	4561.9 	4325.1 	4457.7 	4194.5 	4014.9 	4369.6 	4555.8 	4828.1 	5234.3 	5486.8 	: 
A,MIO_EUR,B-E,ES62	: 	: 	: 	: 	: 	680.1 	652.6 	683.9 	729.3 	890.5 	905.4 	1026.9 	971.1 	1148.5 	1512.6 	1601.2 	1005.7 	923.7 	1028.5 	1027.4 	1292.4 	1430.4 	1356.9 	1427.4 	1663.7 	: 
A,MIO_EUR,B-E,ES63	: 	: 	: 	: 	: 	6.5 	6 	7.1 	7.9 	11.4 	14.7 	19.8 	23.7 	24 	101.4 	82.7 	92.6 	99.1 	117.7 	97.8 	53.9 	27.1 	14.4 	14.9 	13.9 	: 
A,MIO_EUR,B-E,ES64	: 	: 	: 	: 	: 	4.1 	3.4 	4 	4 	4.8 	5.7 	8 	10.6 	22.3 	32.8 	43.1 	36.6 	35.3 	37.2 	52.8 	35.6 	48.1 	35 	16.8 	20.4 	: 
A,MIO_EUR,B-E,ES7	: 	: 	: 	: 	: 	395.1 	360.9 	375.5 	376.5 	417.2 	488.3 	574.9 	518.3 	578.2 	895.3 	817.2 	780.6 	769.6 	684.4 	668.8 	649.3 	572.1 	617 	664.7 	788.1 	: 
A,MIO_EUR,B-E,ES70	: 	: 	: 	: 	: 	395.1 	360.9 	375.5 	376.5 	417.2 	488.3 	574.9 	518.3 	578.2 	895.3 	817.2 	780.6 	769.6 	684.4 	668.8 	649.3 	572.1 	617 	664.7 	788.1 	: 
A,MIO_EUR,B-E,ESZ	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,MIO_EUR,B-E,ESZZ	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,MIO_EUR,B-E,FI	: 	: 	: 	: 	: 	7754 	8737 	8027 	8159 	8464 	8771 	9219 	10694 	11813 	10537 	9716 	9880 	9607 	9182 	9509 	9928 	10636 	11396 	10618 	10155 	: 
A,MIO_EUR,B-E,FI1	: 	: 	: 	: 	: 	7724.14 	8717.07 	8011.28 	8148.14 	8429.53 	8744.99 	9189.98 	10665.24 	11801.4 	10523.07 	9707.78 	9871.39 	9592.58 	9164.51 	9491.26 	9805.58 	10611.78 	11370.14 	10595.63 	10129.73 	: 
A,MIO_EUR,B-E,FI19	: 	: 	: 	: 	: 	1982.11 	2052.12 	2180.05 	2081.55 	2248.54 	2549.67 	2696.51 	2693.39 	3119.3 	2841.74 	2778.43 	2889.6 	2581.64 	2493.8 	2476.32 	2550.57 	2784.31 	3093.57 	2762.06 	2630.58 	: 
A,MIO_EUR,B-E,FI1B	: 	: 	: 	: 	: 	2305.73 	2300.35 	2124.47 	2241.42 	2295.36 	2599.96 	2810.24 	3734.2 	3572.89 	3502.44 	3125.98 	2851.89 	2618.58 	2860.01 	3074.74 	3131.93 	3558.75 	3650.61 	3535.87 	3385.44 	: 
A,MIO_EUR,B-E,FI1C	: 	: 	: 	: 	: 	1774.1 	2579.33 	1728.14 	1958.76 	1655.8 	1827.23 	1829.54 	1950.09 	2204.52 	1850.13 	1541.37 	1514.76 	1844.26 	1876.28 	1662.37 	1686.71 	1863.51 	2054.99 	1935.48 	1676.08 	: 
A,MIO_EUR,B-E,FI1D	: 	: 	: 	: 	: 	1662.2 	1785.27 	1978.63 	1866.41 	2229.82 	1768.13 	1853.7 	2287.56 	2904.69 	2328.75 	2262 	2615.15 	2548.1 	1934.42 	2277.83 	2436.38 	2405.22 	2570.98 	2362.22 	2437.63 	: 
A,MIO_EUR,B-E,FI2	: 	: 	: 	: 	: 	29.86 	19.93 	15.72 	10.86 	34.47 	26.01 	29.02 	28.77 	11.6 	13.93 	8.22 	8.61 	14.42 	17.49 	17.74 	122.42 	24.22 	25.86 	22.37 	25.28 	: 
A,MIO_EUR,B-E,FI20	: 	: 	: 	: 	: 	29.86 	19.93 	15.72 	10.86 	34.47 	26.01 	29.02 	28.77 	11.6 	13.93 	8.22 	8.61 	14.42 	17.49 	17.74 	122.42 	24.22 	25.86 	22.37 	25.28 	: 
A,MIO_EUR,B-E,FR	: 	: 	: 	: 	: 	64015.55 	65171.54 	62284 	60669.5 	62677.3 	64465.39 	68084.29 	74724.96 	76010.37 	66676.03 	72219.63 	75669.58 	76074.23 	76141.4 	80033.93 	79193.51 	81842.38 	86544.11 	90764.61 	93371.46 	: 
A,MIO_EUR,B-E,FR1	: 	: 	: 	: 	: 	12757.25 	12647.39 	12399.02 	11948.08 	12342.74 	12549.15 	13166.91 	14288.97 	13880.42 	12463.42 	14021.77 	14247.44 	14430.04 	14645.8 	15400.39 	15414.99 	16162.67 	16995.59 	17299.93 	18672.45 	: 
A,MIO_EUR,B-E,FR10	: 	: 	: 	: 	: 	12757.25 	12647.39 	12399.02 	11948.08 	12342.74 	12549.15 	13166.91 	14288.97 	13880.42 	12463.42 	14021.77 	14247.44 	14430.04 	14645.8 	15400.39 	15414.99 	16162.67 	16995.59 	17299.93 	18672.45 	: 
A,MIO_EUR,B-E,FRB	: 	: 	: 	: 	: 	2947.27 	3070.32 	2890.35 	2820.27 	2854.15 	2978.59 	3179.88 	3410.28 	3353.24 	3047.48 	3219.29 	3357.85 	3355.41 	3403.07 	3522.56 	3453.41 	3509.32 	3641.79 	3841.6 	3952.36 	: 
A,MIO_EUR,B-E,FRB0	: 	: 	: 	: 	: 	2947.27 	3070.32 	2890.35 	2820.27 	2854.15 	2978.59 	3179.88 	3410.28 	3353.24 	3047.48 	3219.29 	3357.85 	3355.41 	3403.07 	3522.56 	3453.41 	3509.32 	3641.79 	3841.6 	3952.36 	: 
A,MIO_EUR,B-E,FRC	: 	: 	: 	: 	: 	3401.05 	3525.19 	3361.84 	3258.59 	3287.33 	3268.9 	3374.08 	3791.88 	3969.24 	3428.39 	3615.11 	3701.9 	3454.19 	3371.34 	3562.18 	3451.16 	3517.32 	3773.85 	3899.83 	3967.84 	: 
A,MIO_EUR,B-E,FRC1	: 	: 	: 	: 	: 	1744.98 	1766.49 	1699.01 	1649.95 	1716.63 	1728.77 	1820.82 	2086.34 	2144.11 	1811.84 	1854.99 	1910.24 	1862.6 	1849.69 	1932.52 	1818.72 	1830.6 	1947.04 	2044.45 	2054.89 	: 
A,MIO_EUR,B-E,FRC2	: 	: 	: 	: 	: 	1656.07 	1758.7 	1662.83 	1608.64 	1570.71 	1540.14 	1553.27 	1705.54 	1825.13 	1616.55 	1760.13 	1791.66 	1591.59 	1521.65 	1629.66 	1632.43 	1686.73 	1826.82 	1855.38 	1912.95 	: 
A,MIO_EUR,B-E,FRD	: 	: 	: 	: 	: 	4081.39 	4022.67 	3844.01 	3807.75 	3951.8 	3928.49 	4144.49 	4637.77 	4782.37 	4182.61 	4703.77 	4939.27 	4999.19 	4969.74 	5136.62 	5153.8 	5132.34 	5326.99 	5382.96 	5256.21 	: 
A,MIO_EUR,B-E,FRD1	: 	: 	: 	: 	: 	1380.98 	1317.39 	1278.5 	1267 	1337.7 	1351.89 	1460.27 	1622.47 	1628.51 	1389.94 	1554.67 	1645.09 	1647.6 	1670.62 	1711.58 	1681.96 	1725.42 	1844.15 	1960.45 	1993.78 	: 
A,MIO_EUR,B-E,FRD2	: 	: 	: 	: 	: 	2700.41 	2705.28 	2565.51 	2540.75 	2614.09 	2576.6 	2684.22 	3015.29 	3153.86 	2792.67 	3149.1 	3294.17 	3351.59 	3299.12 	3425.04 	3471.84 	3406.93 	3482.83 	3422.51 	3262.43 	: 
A,MIO_EUR,B-E,FRE	: 	: 	: 	: 	: 	6491.65 	6429.91 	6165.9 	6019.61 	6109.63 	6185.59 	6481.08 	7344.22 	7296.36 	6304.07 	6606.64 	6757.07 	6740.46 	6571.14 	6810.55 	6799.82 	7025.2 	7421.13 	7665.54 	7542.06 	: 
A,MIO_EUR,B-E,FRE1	: 	: 	: 	: 	: 	4300.67 	4193.4 	4019.3 	3933.63 	4016.23 	4072.27 	4345.19 	4961.38 	4904.48 	4166.04 	4343.48 	4447.64 	4411.2 	4288.27 	4485.5 	4484.23 	4637.15 	4895.02 	5066.18 	4958.95 	: 
A,MIO_EUR,B-E,FRE2	: 	: 	: 	: 	: 	2190.98 	2236.51 	2146.6 	2085.97 	2093.4 	2113.32 	2135.89 	2382.84 	2391.88 	2138.03 	2263.16 	2309.43 	2329.26 	2282.87 	2325.04 	2315.59 	2388.05 	2526.11 	2599.36 	2583.11 	: 
A,MIO_EUR,B-E,FRF	: 	: 	: 	: 	: 	6794.89 	6842.47 	6551.48 	6378.71 	6609.59 	6729.06 	6939.44 	7669.74 	7920.03 	6878.51 	7269.9 	7680.6 	7412.95 	7314.02 	7642.89 	7478.66 	7754 	8302.97 	8562.7 	8601.53 	: 
A,MIO_EUR,B-E,FRF1	: 	: 	: 	: 	: 	2515.64 	2531.38 	2456.65 	2379.9 	2465.68 	2561.95 	2593.68 	2894.04 	3034.41 	2699.98 	2903.29 	3028.26 	2920.92 	2990.67 	3112.43 	3022.05 	3136.3 	3368.58 	3590.69 	3566.01 	: 
A,MIO_EUR,B-E,FRF2	: 	: 	: 	: 	: 	1728.91 	1686.32 	1589.34 	1548.31 	1615.08 	1652.02 	1731.14 	1937.62 	2021.83 	1690.79 	1792.92 	1964.69 	1910.43 	1809.75 	1850.84 	1790.93 	1867.69 	1975.78 	2026.01 	2018.93 	: 
A,MIO_EUR,B-E,FRF3	: 	: 	: 	: 	: 	2550.35 	2624.76 	2505.49 	2450.5 	2528.83 	2515.08 	2614.62 	2838.08 	2863.79 	2487.74 	2573.69 	2687.66 	2581.6 	2513.6 	2679.63 	2665.68 	2750.01 	2958.61 	2946 	3016.59 	: 
A,MIO_EUR,B-E,FRG	: 	: 	: 	: 	: 	3754.69 	3963.3 	3730.5 	3636.9 	3794.33 	3954.39 	4082.39 	4663.98 	4778.36 	4212.75 	4366.27 	4754.82 	4791.48 	4762.17 	5072.48 	4951.53 	5179.94 	5529.23 	5896.83 	6261.35 	: 
A,MIO_EUR,B-E,FRG0	: 	: 	: 	: 	: 	3754.69 	3963.3 	3730.5 	3636.9 	3794.33 	3954.39 	4082.39 	4663.98 	4778.36 	4212.75 	4366.27 	4754.82 	4791.48 	4762.17 	5072.48 	4951.53 	5179.94 	5529.23 	5896.83 	6261.35 	: 
A,MIO_EUR,B-E,FRH	: 	: 	: 	: 	: 	2459.21 	2528.01 	2400.96 	2353.05 	2627.44 	2699.68 	2827.6 	3113.16 	3184.35 	2837.9 	3050.83 	3238.34 	3277.41 	3346.56 	3543.01 	3551.42 	3640.53 	3981.51 	4189.75 	4306.03 	: 
A,MIO_EUR,B-E,FRH0	: 	: 	: 	: 	: 	2459.21 	2528.01 	2400.96 	2353.05 	2627.44 	2699.68 	2827.6 	3113.16 	3184.35 	2837.9 	3050.83 	3238.34 	3277.41 	3346.56 	3543.01 	3551.42 	3640.53 	3981.51 	4189.75 	4306.03 	: 
A,MIO_EUR,B-E,FRI	: 	: 	: 	: 	: 	4534.59 	4860.18 	4714.63 	4565.38 	4615.08 	4798.83 	5029.27 	5666.9 	5607.94 	4914.08 	5389.65 	5618.04 	5729.25 	5736.64 	6073.21 	5912.81 	6170.27 	6467.44 	6822.19 	7264.83 	: 
A,MIO_EUR,B-E,FRI1	: 	: 	: 	: 	: 	2384.62 	2634.7 	2531.02 	2437.93 	2483.39 	2655.46 	2797.5 	3145.63 	3093.02 	2636.35 	3031.11 	3138.47 	3175.97 	3178.05 	3349.78 	3280.48 	3414.51 	3624.13 	3839.39 	4031.85 	: 
A,MIO_EUR,B-E,FRI2	: 	: 	: 	: 	: 	614.82 	632.82 	617.76 	598.54 	578.6 	607.04 	622.31 	692.26 	683.88 	601.71 	635.48 	656 	654.53 	650.88 	687.4 	674.18 	686.81 	725.59 	772.55 	744.52 	: 
A,MIO_EUR,B-E,FRI3	: 	: 	: 	: 	: 	1535.16 	1592.67 	1565.86 	1528.9 	1553.09 	1536.33 	1609.46 	1829.01 	1831.04 	1676.02 	1723.06 	1823.57 	1898.74 	1907.71 	2036.02 	1958.15 	2068.96 	2117.72 	2210.25 	2488.46 	: 
A,MIO_EUR,B-E,FRJ	: 	: 	: 	: 	: 	3526.53 	3775.31 	3521.24 	3428.23 	3344.09 	3667.48 	4278.87 	4201.27 	4520.96 	4102.3 	4214.44 	4411.56 	4781.61 	4947.04 	5446.02 	5518.76 	5713.99 	6107.99 	6585.82 	6748.63 	: 
A,MIO_EUR,B-E,FRJ1	: 	: 	: 	: 	: 	1197.91 	1248.12 	1169.38 	1178.67 	1238.39 	1289.61 	1389.26 	1486.23 	1563.93 	1366.46 	1417.32 	1479.94 	1499.62 	1434.68 	1514.15 	1487.06 	1542.66 	1649.51 	1704.59 	1868.84 	: 
A,MIO_EUR,B-E,FRJ2	: 	: 	: 	: 	: 	2328.62 	2527.2 	2351.86 	2249.56 	2105.7 	2377.87 	2889.61 	2715.03 	2957.04 	2735.85 	2797.12 	2931.62 	3281.99 	3512.36 	3931.87 	4031.71 	4171.33 	4458.48 	4881.23 	4879.79 	: 
A,MIO_EUR,B-E,FRK	: 	: 	: 	: 	: 	9549.77 	9692.32 	9037.58 	8814.09 	9153.65 	9418.54 	10036.1 	11018.06 	11860.45 	10060.45 	11042.43 	11646.21 	11590.27 	11706.03 	12064.91 	11803.08 	12133.74 	12804.37 	13963.28 	14144.09 	: 
A,MIO_EUR,B-E,FRK1	: 	: 	: 	: 	: 	1564.3 	1547.77 	1459.97 	1427.09 	1466.93 	1514.09 	1563.34 	1712.66 	1736.24 	1535.55 	1612.82 	1716.51 	1771.68 	1778.07 	1830.54 	1842.38 	1911.79 	1962.79 	2044.73 	2099.88 	: 
A,MIO_EUR,B-E,FRK2	: 	: 	: 	: 	: 	7985.48 	8144.55 	7577.61 	7387 	7686.72 	7904.45 	8472.76 	9305.4 	10124.21 	8524.91 	9429.61 	9929.7 	9818.59 	9927.96 	10234.37 	9960.7 	10221.95 	10841.58 	11918.55 	12044.22 	: 
A,MIO_EUR,B-E,FRL	: 	: 	: 	: 	: 	3205.47 	3257.26 	3115.89 	3037.69 	3369.05 	3587.94 	3766.25 	4075.67 	3977.57 	3488.64 	3935.22 	4137.77 	4387.57 	4282.23 	4581.93 	4499.45 	4600.2 	4826.76 	5146.79 	5229.33 	: 
A,MIO_EUR,B-E,FRL0	: 	: 	: 	: 	: 	3205.47 	3257.26 	3115.89 	3037.69 	3369.05 	3587.94 	3766.25 	4075.67 	3977.57 	3488.64 	3935.22 	4137.77 	4387.57 	4282.23 	4581.93 	4499.45 	4600.2 	4826.76 	5146.79 	5229.33 	: 
A,MIO_EUR,B-E,FRM	: 	: 	: 	: 	: 	88.64 	91.31 	91.81 	92.36 	96.54 	95.34 	104.87 	111.78 	108.42 	104.01 	114.14 	124.03 	126.19 	133.95 	153.22 	149.71 	153.62 	164.87 	175.7 	185.66 	: 
A,MIO_EUR,B-E,FRM0	: 	: 	: 	: 	: 	88.64 	91.31 	91.81 	92.36 	96.54 	95.34 	104.87 	111.78 	108.42 	104.01 	114.14 	124.03 	126.19 	133.95 	153.22 	149.71 	153.62 	164.87 	175.7 	185.66 	: 
A,MIO_EUR,B-E,FRY	: 	: 	: 	: 	: 	423.15 	465.91 	458.8 	508.81 	521.88 	603.42 	673.08 	731.28 	770.67 	651.43 	670.17 	1054.69 	998.22 	951.67 	1023.97 	1054.91 	1149.23 	1199.61 	1331.69 	1239.11 	: 
A,MIO_EUR,B-E,FRY1	: 	: 	: 	: 	: 	119.33 	123.17 	126.01 	142.32 	141.98 	144.47 	152.43 	166.26 	173.29 	146.14 	166.12 	127.04 	188.54 	179.74 	154.97 	144.46 	148.58 	141 	217.88 	178.54 	: 
A,MIO_EUR,B-E,FRY2	: 	: 	: 	: 	: 	112.63 	125.56 	117.22 	125.61 	139.37 	161.76 	181.54 	193.27 	194.1 	137.04 	142.35 	212.23 	148.41 	139.82 	126.95 	154.52 	160.41 	226.13 	266.28 	185.6 	: 
A,MIO_EUR,B-E,FRY3	: 	: 	: 	: 	: 	47.04 	59.25 	58.08 	55.98 	54.25 	64.94 	75.55 	77.12 	79.12 	81.84 	88.75 	91.97 	110.86 	102.78 	88.71 	103.44 	99.49 	91.38 	116.88 	107.17 	: 
A,MIO_EUR,B-E,FRY4	: 	: 	: 	: 	: 	129.25 	141.18 	141.28 	166.65 	165.54 	210.94 	241.74 	272.29 	301.27 	262.95 	248.94 	598.85 	521.48 	497.09 	615.77 	610 	693.94 	687.49 	673.67 	703 	: 
A,MIO_EUR,B-E,FRY5	: 	: 	: 	: 	: 	14.91 	16.76 	16.21 	18.25 	20.75 	21.3 	21.82 	22.35 	22.9 	23.45 	24.02 	24.61 	28.93 	32.24 	37.57 	42.48 	46.8 	53.61 	56.98 	64.8 	: 
A,MIO_EUR,B-E,FRZ	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,MIO_EUR,B-E,FRZZ	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,MIO_EUR,B-E,HR	: 	: 	: 	: 	: 	1105.29 	1155.91 	1407.9 	1729.62 	1805.59 	1855.97 	2260.27 	2532.06 	2948.89 	2546.71 	1963.16 	2030.95 	2187.9 	2393.13 	2152.59 	2513.18 	2836 	2904.73 	2635.83 	2597.59 	: 
A,MIO_EUR,B-E,HR0	: 	: 	: 	: 	: 	1105.29 	1155.91 	1407.9 	1729.62 	1805.59 	1855.97 	2260.27 	2532.06 	2948.89 	2546.71 	1963.16 	2030.95 	2187.9 	2393.13 	2152.59 	2513.18 	2836 	2904.73 	2635.83 	2597.59 	: 
A,MIO_EUR,B-E,HR02	: 	: 	: 	: 	: 	229.01 	225.39 	274.7 	413.48 	353.8 	391.34 	456.78 	557.23 	711.86 	634.55 	509.97 	568.05 	547.02 	544.59 	533.44 	698.9 	829.68 	804.65 	647.62 	551.63 	: 
A,MIO_EUR,B-E,HR03	: 	: 	: 	: 	: 	375.65 	408.18 	402.8 	524.34 	618.59 	644.74 	765.11 	794.17 	959.61 	904.55 	644.39 	656.75 	720.19 	916.78 	705 	787.88 	852.9 	1095.84 	838.61 	852.55 	: 
A,MIO_EUR,B-E,HR05	: 	: 	: 	: 	: 	295.49 	347.11 	436.45 	429.14 	475.67 	446.27 	611.32 	642.56 	677.99 	504.53 	428.13 	377.74 	475.15 	421.96 	341.03 	365.83 	379.23 	349.37 	415.4 	577.2 	: 
A,MIO_EUR,B-E,HR06	: 	: 	: 	: 	: 	205.13 	175.24 	293.95 	362.66 	357.53 	373.62 	427.05 	538.11 	599.42 	503.08 	380.68 	428.41 	445.54 	509.8 	573.12 	660.57 	774.19 	654.86 	734.2 	616.22 	: 
A,MIO_EUR,B-E,HU	: 	: 	: 	: 	: 	4180.54 	4371.86 	4433.64 	4981.56 	5624.16 	5704.41 	5754.84 	7125.66 	7141.91 	5445.36 	5738.74 	7108.34 	6972.48 	7492.33 	7565.56 	7246.31 	8139.93 	8774.42 	10297.27 	12275.96 	: 
A,MIO_EUR,B-E,HU1	: 	: 	: 	: 	: 	1038.42 	1281.77 	1383.64 	1353.82 	1514.92 	1475.64 	1717.71 	1937.1 	1815.72 	1454.6 	1564.54 	1480.41 	1469.76 	1702.86 	1727.85 	1471.45 	1750.1 	2071.13 	2292.71 	2326.11 	: 
A,MIO_EUR,B-E,HU11	: 	: 	: 	: 	: 	552.59 	690.67 	794.89 	667.92 	790.6 	834.71 	1014.8 	1166.8 	1043.11 	862.5 	966.46 	797 	853.91 	1094.91 	1045.69 	738.78 	880.41 	933.64 	908.25 	1090.77 	: 
A,MIO_EUR,B-E,HU12	: 	: 	: 	: 	: 	485.84 	591.1 	588.75 	685.9 	724.32 	640.94 	702.9 	770.3 	772.61 	592.1 	598.08 	683.41 	615.85 	607.95 	682.16 	732.67 	869.69 	1137.49 	1384.46 	1235.35 	: 
A,MIO_EUR,B-E,HU2	: 	: 	: 	: 	: 	1827.73 	1788.16 	1801.72 	1971.24 	2231.98 	2459.92 	2332.11 	3177.37 	3118.44 	2141.57 	2276.99 	3270.89 	3410.2 	3362.91 	3177.35 	3196.69 	3551.5 	3332.11 	3686.97 	4512.21 	: 
A,MIO_EUR,B-E,HU21	: 	: 	: 	: 	: 	772.69 	647.56 	844.64 	929.41 	1191.3 	1450.19 	1232.91 	1935.66 	1542.94 	1025.03 	1191.51 	970.77 	936.8 	1181.28 	1403.12 	1396.31 	1592.11 	1470.31 	1735.25 	2498.68 	: 
A,MIO_EUR,B-E,HU22	: 	: 	: 	: 	: 	770.32 	864.61 	655.3 	715.86 	678.68 	726.68 	756.24 	856.05 	1085.53 	675.77 	700.7 	1616.49 	2076.49 	1769.41 	1329.51 	1371.99 	1516.64 	1431.31 	1396.14 	1296.33 	: 
A,MIO_EUR,B-E,HU23	: 	: 	: 	: 	: 	284.73 	275.99 	301.78 	325.97 	362 	283.05 	342.97 	385.66 	489.96 	440.77 	384.79 	683.62 	396.9 	412.22 	444.72 	428.39 	442.75 	430.49 	555.58 	717.21 	: 
A,MIO_EUR,B-E,HU3	: 	: 	: 	: 	: 	1314.38 	1301.93 	1248.28 	1656.5 	1877.27 	1768.86 	1705.02 	2011.18 	2207.75 	1849.2 	1897.2 	2357.04 	2092.53 	2426.56 	2660.36 	2578.17 	2838.33 	3371.19 	4317.59 	5437.63 	: 
A,MIO_EUR,B-E,HU31	: 	: 	: 	: 	: 	617.97 	514.97 	510.27 	843 	950.61 	847.78 	707.02 	743.78 	983.93 	628.73 	723.45 	768.48 	641.58 	770.43 	1086.59 	1106.59 	1214.62 	1371.61 	1717.78 	2436.26 	: 
A,MIO_EUR,B-E,HU32	: 	: 	: 	: 	: 	366.45 	449.1 	403.1 	421.7 	485.52 	533.43 	572.06 	739.45 	663.49 	704.49 	714.3 	679.66 	733.98 	964.23 	901.1 	788.82 	934.87 	964.19 	1257.06 	1632.33 	: 
A,MIO_EUR,B-E,HU33	: 	: 	: 	: 	: 	329.95 	337.86 	334.92 	391.8 	441.14 	387.65 	425.95 	527.96 	560.33 	515.98 	459.46 	908.91 	716.96 	691.9 	672.68 	682.76 	688.85 	1035.39 	1342.75 	1369.05 	: 
A,MIO_EUR,B-E,HUZ	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,MIO_EUR,B-E,HUZZ	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,MIO_EUR,B-E,IE	: 	: 	: 	: 	: 	4992.54 	5586.64 	7366.08 	6926.96 	6701.1 	8719.12 	8600.47 	7998 	7694.85 	7874.51 	6637.38 	5305.66 	6992.95 	8261.01 	8749.87 	21816.51 	51392.82 	19718.31 	32244.19 	89845.05 	: 
A,MIO_EUR,B-E,IE0	: 	: 	: 	: 	: 	4992.54 	5586.64 	7366.08 	6926.96 	6701.1 	8719.12 	8600.47 	7998 	7694.85 	7874.51 	6637.38 	5305.66 	6992.95 	8261.01 	8749.87 	21816.51 	51392.82 	19718.31 	32244.19 	89845.05 	: 
A,MIO_EUR,B-E,IE04	: 	: 	: 	: 	: 	585.05 	529.47 	585.27 	737.71 	865.85 	971.63 	921.58 	917.29 	1266.51 	1194.98 	1412.9 	1070.51 	1346.66 	1708.36 	1807.37 	4227.81 	9749.83 	3827.88 	6181.05 	16936.24 	: 
